alphabet	dataset	pcount	plength	errors	distance	filter	verifications	duplicates	occurrences	time
dna	celegans	100000	100	1	hamming	seeds_0	203745	124223	72837	0.304975
dna	celegans	100000	100	2	hamming	seeds_0	563430	237490	100957	0.470707
dna	celegans	100000	100	3	hamming	seeds_0	1155127	398635	137373	0.656058
dna	celegans	100000	100	4	hamming	seeds_0	2295981	630892	184131	0.891739
dna	celegans	100000	100	5	hamming	seeds_0	5410035	962916	237167	1.276164
dna	celegans	100000	100	6	hamming	seeds_0	13950830	1375058	300497	2.216439
dna	celegans	100000	100	7	hamming	seeds_0	68834727	1928704	371250	7.436524
dna	celegans	100000	100	8	hamming	seeds_0	201144173	2553485	448535	20.880076
dna	celegans	100000	100	9	hamming	seeds_0	644914720	3320296	532073	66.692124
dna	celegans	100000	100	10	hamming	seeds_0	2164055935	4264166	620385	224.311883
dna	celegans	100000	100	1	edit	seeds_0	203745	125986	74519	0.312443
dna	celegans	100000	100	2	edit	seeds_0	563430	247905	107283	0.526113
dna	celegans	100000	100	3	edit	seeds_0	1155127	431306	152682	0.852640
dna	celegans	100000	100	4	edit	seeds_0	2295981	713572	214284	1.355860
dna	celegans	100000	100	5	edit	seeds_0	5410035	1139631	288901	2.454270
dna	celegans	100000	100	6	edit	seeds_0	13950830	1690678	380077	5.146137
dna	celegans	100000	100	7	edit	seeds_0	68834727	2444903	483417	21.674636
dna	celegans	100000	100	8	edit	seeds_0	201144173	3317498	598273	65.684482
dna	celegans	100000	100	9	edit	seeds_0	644914720	4417288	723319	223.885093
dna	celegans	100000	100	10	edit	seeds_0	2164055935	5755355	855193	807.886111
