alphabet	dataset	pcount	plength	errors	distance	filter	verifications	duplicates	occurrences	time
dna	celegans	100000	100	1	hamming	seeds_0	203745	0	0	0.285589
dna	celegans	100000	100	2	hamming	seeds_0	563430	0	0	0.420939
dna	celegans	100000	100	2	hamming	seeds_1	398160	0	0	6.243284
dna	celegans	100000	100	3	hamming	seeds_0	1155127	0	0	0.550477
dna	celegans	100000	100	3	hamming	seeds_1	398160	0	0	6.264471
dna	celegans	100000	100	4	hamming	seeds_0	2295981	0	0	0.668280
dna	celegans	100000	100	4	hamming	seeds_1	1279730	0	0	9.320411
dna	celegans	100000	100	5	hamming	seeds_0	5410035	0	0	0.794031
dna	celegans	100000	100	5	hamming	seeds_1	1279730	0	0	9.304473
dna	celegans	100000	100	5	hamming	seeds_2	667313	0	0	77.005694
dna	celegans	100000	100	6	hamming	seeds_0	13950830	0	0	0.932738
dna	celegans	100000	100	6	hamming	seeds_1	2871992	0	0	12.346356
dna	celegans	100000	100	6	hamming	seeds_2	2268526	0	0	114.661292
dna	celegans	100000	100	7	hamming	seeds_0	68834727	0	0	0.709355
dna	celegans	100000	100	7	hamming	seeds_1	2871992	0	0	12.717055
dna	celegans	100000	100	7	hamming	seeds_2	2268526	0	0	115.359187
dna	celegans	100000	100	8	hamming	seeds_0	201144173	0	0	0.790505
dna	celegans	100000	100	8	hamming	seeds_1	6351414	0	0	15.462876
dna	celegans	100000	100	8	hamming	seeds_2	2268526	0	0	114.273700
dna	celegans	100000	100	9	hamming	seeds_0	644914720	0	0	0.883547
dna	celegans	100000	100	9	hamming	seeds_1	6351414	0	0	15.395822
dna	celegans	100000	100	9	hamming	seeds_2	5535645	0	0	153.217346
dna	celegans	100000	100	10	hamming	seeds_0	2164055935	0	0	0.920311
dna	celegans	100000	100	10	hamming	seeds_1	30888695	0	0	19.283406
dna	celegans	100000	100	10	hamming	seeds_2	5535645	0	0	150.954253
dna	celegans	100000	100	1	hamming	qgrams_0	111747	0	0	9.533696
dna	celegans	100000	100	2	hamming	qgrams_0	482362	0	0	9.051812
dna	celegans	100000	100	3	hamming	qgrams_0	1360956	0	0	9.282031
dna	celegans	100000	100	3	hamming	qgrams_1	991684	0	0	9.701522
dna	celegans	100000	100	4	hamming	qgrams_0	3010226	0	0	9.977480
dna	celegans	100000	100	4	hamming	qgrams_1	1778962	0	0	10.149570
dna	celegans	100000	100	5	hamming	qgrams_0	3238636	0	0	11.390178
dna	celegans	100000	100	6	hamming	qgrams_0	13522465	0	0	15.513358
dna	celegans	100000	100	6	hamming	qgrams_1	2932673	0	0	20.509392
dna	celegans	100000	100	7	hamming	qgrams_0	14581170	0	0	29.765284
dna	celegans	100000	100	8	hamming	qgrams_0	421333624	0	0	73.810676
dna	celegans	100000	100	8	hamming	qgrams_1	421333624	0	0	73.966690
dna	celegans	100000	100	8	hamming	qgrams_2	5485328	0	0	157.504413
dna	celegans	100000	100	9	hamming	qgrams_0	3698250538	0	0	242.021822
dna	celegans	100000	100	9	hamming	qgrams_1	8430821	0	0	470.600841
dna	celegans	100000	100	10	hamming	qgrams_0	3873417880	0	0	567.694178
dna	celegans	100000	100	10	hamming	qgrams_1	3873417880	0	0	569.344245
dna	celegans	100000	100	10	hamming	qgrams_2	9391013	0	0	1492.655713
dna	celegans	100000	100	1	edit	seeds_0	203745	0	0	0.285275
dna	celegans	100000	100	2	edit	seeds_0	563430	0	0	0.423222
dna	celegans	100000	100	3	edit	seeds_0	1155127	0	0	0.558606
dna	celegans	100000	100	4	edit	seeds_0	2295981	0	0	0.672684
dna	celegans	100000	100	5	edit	seeds_0	5410035	0	0	0.821612
dna	celegans	100000	100	6	edit	seeds_0	13950830	0	0	0.920211
dna	celegans	100000	100	7	edit	seeds_0	68834727	0	0	0.706665
dna	celegans	100000	100	8	edit	seeds_0	201144173	0	0	0.784539
dna	celegans	100000	100	9	edit	seeds_0	644914720	0	0	0.847847
dna	celegans	100000	100	10	edit	seeds_0	2164055935	0	0	0.923434
dna	celegans	100000	100	1	edit	qgrams_0	118579	0	0	8.716770
dna	celegans	100000	100	2	edit	qgrams_0	540861	0	0	8.797517
dna	celegans	100000	100	3	edit	qgrams_0	1603522	0	0	9.912977
dna	celegans	100000	100	3	edit	qgrams_1	1169766	0	0	9.880864
dna	celegans	100000	100	4	edit	qgrams_0	3706887	0	0	10.172088
dna	celegans	100000	100	4	edit	qgrams_1	2196914	0	0	10.129209
dna	celegans	100000	100	5	edit	qgrams_0	4173214	0	0	11.528374
dna	celegans	100000	100	6	edit	qgrams_0	18357212	0	0	16.117345
dna	celegans	100000	100	6	edit	qgrams_1	3989120	0	0	22.402454
dna	celegans	100000	100	7	edit	qgrams_0	20866026	0	0	33.783572
dna	celegans	100000	100	8	edit	qgrams_0	630867082	0	0	89.021266
dna	celegans	100000	100	8	edit	qgrams_1	630867082	0	0	88.195679
dna	celegans	100000	100	8	edit	qgrams_2	8534813	0	0	191.710136
dna	celegans	100000	100	9	edit	qgrams_0	1428232194	0	0	311.703224
dna	celegans	100000	100	9	edit	qgrams_1	14817296	0	0	586.992013
dna	celegans	100000	100	10	edit	qgrams_0	2037981669	0	0	730.987970
dna	celegans	100000	100	10	edit	qgrams_1	2037981669	0	0	744.864497
dna	celegans	100000	100	10	edit	qgrams_2	19993824	0	0	1894.946163
