alphabet	dataset	pcount	plength	errors	distance	filter	verifications	duplicates	occurrences	time
dna	celegans	100000	100	1	hamming	seeds_0	203745	124223	0	0.299524
dna	celegans	100000	100	2	hamming	seeds_0	563430	237490	0	0.457552
dna	celegans	100000	100	2	hamming	seeds_1	398160	187039	0	6.297254
dna	celegans	100000	100	3	hamming	seeds_0	1155127	398635	0	0.636304
dna	celegans	100000	100	3	hamming	seeds_1	398160	223455	0	6.300648
dna	celegans	100000	100	4	hamming	seeds_0	2295981	630892	0	0.851231
dna	celegans	100000	100	4	hamming	seeds_1	1279730	458828	0	9.407612
dna	celegans	100000	100	5	hamming	seeds_0	5410035	962916	0	1.219824
dna	celegans	100000	100	5	hamming	seeds_1	1279730	535310	0	9.414835
dna	celegans	100000	100	5	hamming	seeds_2	667313	382399	0	75.601908
dna	celegans	100000	100	6	hamming	seeds_0	13950830	1375058	0	2.093438
dna	celegans	100000	100	6	hamming	seeds_1	2871992	931623	0	12.442709
dna	celegans	100000	100	6	hamming	seeds_2	2268526	788326	0	116.095791
dna	celegans	100000	100	7	hamming	seeds_0	68834727	1928704	0	7.259410
dna	celegans	100000	100	7	hamming	seeds_1	2871992	1061438	0	12.617401
dna	celegans	100000	100	7	hamming	seeds_2	2268526	913617	0	113.376040
dna	celegans	100000	100	8	hamming	seeds_0	201144173	2553485	0	20.495192
dna	celegans	100000	100	8	hamming	seeds_1	6351414	1665274	0	15.856529
dna	celegans	100000	100	8	hamming	seeds_2	2268526	1029131	0	115.899266
dna	celegans	100000	100	9	hamming	seeds_0	644914720	3320296	0	65.684551
dna	celegans	100000	100	9	hamming	seeds_1	6351414	1853654	0	15.895276
dna	celegans	100000	100	9	hamming	seeds_2	5535645	1758763	0	151.192718
dna	celegans	100000	100	10	hamming	seeds_0	2164055935	4264166	0	223.025435
dna	celegans	100000	100	10	hamming	seeds_1	30888695	2747876	0	21.738208
dna	celegans	100000	100	10	hamming	seeds_2	5535645	1949022	0	154.540811
dna	celegans	100000	100	1	hamming	qgrams_0	111747	72836	0	9.496516
dna	celegans	100000	100	2	hamming	qgrams_0	482362	100957	0	8.933613
dna	celegans	100000	100	3	hamming	qgrams_0	1360956	137373	0	9.650385
dna	celegans	100000	100	3	hamming	qgrams_1	991684	137373	0	10.673210
dna	celegans	100000	100	4	hamming	qgrams_0	3010226	184131	0	10.775475
dna	celegans	100000	100	4	hamming	qgrams_1	1778962	184131	0	10.601870
dna	celegans	100000	100	5	hamming	qgrams_0	3238636	237167	0	12.390946
dna	celegans	100000	100	6	hamming	qgrams_0	13522465	300497	0	20.087993
dna	celegans	100000	100	6	hamming	qgrams_1	2932673	300497	0	21.524135
dna	celegans	100000	100	7	hamming	qgrams_0	14581170	371250	0	35.177485
dna	celegans	100000	100	8	hamming	qgrams_0	421333624	448535	0	234.406303
dna	celegans	100000	100	8	hamming	qgrams_1	421333624	448535	0	234.168698
dna	celegans	100000	100	8	hamming	qgrams_2	5485328	448535	0	159.269850
dna	celegans	100000	100	9	hamming	qgrams_0	3698250538	532073	0	1680.840627
dna	celegans	100000	100	9	hamming	qgrams_1	8430821	532073	0	475.571671
dna	celegans	100000	100	10	hamming	qgrams_0	3873417880	620385	0	2218.042429
dna	celegans	100000	100	10	hamming	qgrams_1	3873417880	620385	0	2219.043619
dna	celegans	100000	100	10	hamming	qgrams_2	9391013	620385	0	1497.272266
dna	celegans	100000	100	1	edit	seeds_0	203745	125986	0	0.312441
dna	celegans	100000	100	2	edit	seeds_0	563430	247905	0	0.530956
dna	celegans	100000	100	3	edit	seeds_0	1155127	431306	0	0.844419
dna	celegans	100000	100	4	edit	seeds_0	2295981	713572	0	1.325783
dna	celegans	100000	100	5	edit	seeds_0	5410035	1139631	0	2.437346
dna	celegans	100000	100	6	edit	seeds_0	13950830	1690678	0	5.061096
dna	celegans	100000	100	7	edit	seeds_0	68834727	2444903	0	21.435963
dna	celegans	100000	100	8	edit	seeds_0	201144173	3317498	0	65.498758
dna	celegans	100000	100	9	edit	seeds_0	644914720	4417288	0	222.740887
dna	celegans	100000	100	10	edit	seeds_0	2164055935	5755355	0	806.190051
dna	celegans	100000	100	1	edit	qgrams_0	118579	77728	0	9.487151
dna	celegans	100000	100	2	edit	qgrams_0	540861	118133	0	9.305719
dna	celegans	100000	100	3	edit	qgrams_0	1603522	177844	0	10.027158
dna	celegans	100000	100	3	edit	qgrams_1	1169766	177822	0	10.151077
dna	celegans	100000	100	4	edit	qgrams_0	3706887	262200	0	11.390824
dna	celegans	100000	100	4	edit	qgrams_1	2196914	262121	0	11.113724
dna	celegans	100000	100	5	edit	qgrams_0	4173214	369894	0	13.980475
dna	celegans	100000	100	6	edit	qgrams_0	18357212	507532	0	22.572836
dna	celegans	100000	100	6	edit	qgrams_1	3989120	507131	0	23.679747
dna	celegans	100000	100	7	edit	qgrams_0	20866026	672242	0	41.331637
dna	celegans	100000	100	8	edit	qgrams_0	630867082	865195	0	287.124246
dna	celegans	100000	100	8	edit	qgrams_1	630867082	865195	0	286.975535
dna	celegans	100000	100	8	edit	qgrams_2	8534813	863439	0	195.528663
dna	celegans	100000	100	9	edit	qgrams_0	1428232194	1088019	0	2129.358852
dna	celegans	100000	100	9	edit	qgrams_1	14817296	1082252	0	596.710992
dna	celegans	100000	100	10	edit	qgrams_0	2037981669	1321385	0	2902.160618
dna	celegans	100000	100	10	edit	qgrams_1	2037981669	1321385	0	2898.253770
dna	celegans	100000	100	10	edit	qgrams_2	19993824	1313962	0	1904.745193
