alphabet	dataset	index	errors	plength	pcount	algorithm	occurrences	time	preprocessing
dna	celegans	sa	0	15	10000	single	129560	0.017561	0.000000
dna	celegans	sa	0	15	10000	sort	129560	0.013754	0.000663
dna	celegans	sa	0	15	10000	dfs	129560	0.021826	0.001435
dna	celegans	sa	0	15	100000	single	1269061	0.174982	0.000000
dna	celegans	sa	0	15	100000	sort	1269061	0.109829	0.008606
dna	celegans	sa	0	15	100000	dfs	1269061	0.155626	0.017577
dna	celegans	sa	0	15	1000000	single	12723782	1.628175	0.000000
dna	celegans	sa	0	15	1000000	sort	12723782	0.827809	0.126170
dna	celegans	sa	0	15	1000000	dfs	12723782	0.944702	0.428529
dna	celegans	sa	0	15	10000000	single	126862148	16.532033	0.000000
dna	celegans	sa	0	15	10000000	sort	126862148	5.651409	2.254758
dna	celegans	sa	0	15	10000000	dfs	126862148	4.944267	8.339925
dna	celegans	sa	1	30	10000	single	55086	0.643618	0.000000
dna	celegans	sa	1	30	10000	sort	55086	0.492799	0.000658
dna	celegans	sa	1	30	10000	dfs	55086	0.471785	0.001457
dna	celegans	sa	1	30	10000	bfs	55086	0.615702	0.000682
dna	celegans	sa	1	30	100000	single	533908	6.349956	0.000000
dna	celegans	sa	1	30	100000	sort	533908	4.004147	0.008400
dna	celegans	sa	1	30	100000	dfs	533908	3.455787	0.017953
dna	celegans	sa	1	30	100000	bfs	533908	2.141125	0.002682
dna	celegans	sa	1	30	1000000	single	5367014	64.388677	0.000000
dna	celegans	sa	1	30	1000000	sort	5367014	31.817142	0.126507
dna	celegans	sa	1	30	1000000	dfs	5367014	22.422791	0.481621
dna	celegans	sa	1	30	1000000	bfs	5367014	12.254755	0.040284
dna	celegans	sa	1	30	10000000	single	53042363	639.964295	0.000000
dna	celegans	sa	1	30	10000000	sort	53042363	254.834763	2.285966
dna	celegans	sa	1	30	10000000	dfs	53042363	133.972034	9.441269
dna	celegans	sa	1	30	10000000	bfs	53042363	100.902401	0.414294
dna	celegans	esa	0	15	10000	single	129560	0.018448	0.000000
dna	celegans	esa	0	15	10000	sort	129560	0.012731	0.000673
dna	celegans	esa	0	15	10000	dfs	129560	0.013347	0.001383
dna	celegans	esa	0	15	100000	single	1269061	0.178251	0.000000
dna	celegans	esa	0	15	100000	sort	1269061	0.088418	0.008452
dna	celegans	esa	0	15	100000	dfs	1269061	0.091314	0.017154
dna	celegans	esa	0	15	1000000	single	12723782	1.674801	0.000000
dna	celegans	esa	0	15	1000000	sort	12723782	0.636090	0.123974
dna	celegans	esa	0	15	1000000	dfs	12723782	0.582162	0.436922
dna	celegans	esa	0	15	10000000	single	126862148	16.585702	0.000000
dna	celegans	esa	0	15	10000000	sort	126862148	4.484948	2.267025
dna	celegans	esa	0	15	10000000	dfs	126862148	3.418317	8.387155
dna	celegans	esa	1	30	10000	dfs	55086	0.300180	0.001435
dna	celegans	esa	1	30	100000	dfs	533908	2.180953	0.017572
dna	celegans	esa	1	30	1000000	dfs	5367014	14.861506	0.474306
dna	celegans	esa	1	30	10000000	dfs	53042363	98.442917	9.448594
dna	celegans	qgram	0	15	10000	single	129560	0.013918	0.000000
dna	celegans	qgram	0	15	10000	sort	129560	0.012651	0.000665
dna	celegans	qgram	0	15	10000	dfs	129560	0.009658	0.001395
dna	celegans	qgram	0	15	100000	single	1269061	0.136410	0.000000
dna	celegans	qgram	0	15	100000	sort	1269061	0.113965	0.008434
dna	celegans	qgram	0	15	100000	dfs	1269061	0.076711	0.017235
dna	celegans	qgram	0	15	1000000	single	12723782	1.323248	0.000000
dna	celegans	qgram	0	15	1000000	sort	12723782	1.066380	0.119461
dna	celegans	qgram	0	15	1000000	dfs	12723782	0.610974	0.399824
dna	celegans	qgram	0	15	10000000	single	126862148	13.666526	0.000000
dna	celegans	qgram	0	15	10000000	sort	126862148	9.516642	2.263093
