alphabet	dataset	index	depth	nodes	time
dna	celegans	sa	1	4	0.000014
dna	celegans	sa	2	16	0.000058
dna	celegans	sa	3	64	0.000184
dna	celegans	sa	4	256	0.000546
dna	celegans	sa	5	1024	0.001625
dna	celegans	sa	6	4096	0.005057
dna	celegans	sa	7	16384	0.016056
dna	celegans	sa	8	65536	0.050972
dna	celegans	sa	9	262144	0.157041
dna	celegans	sa	10	1048538	0.441895
dna	celegans	sa	11	4140293	1.119091
dna	celegans	sa	12	13929911	2.389221
dna	celegans	sa	13	32473321	4.093769
dna	celegans	sa	14	53325644	6.140238
dna	celegans	sa	15	69671981	7.588685
dna	celegans	sa	16	80084460	9.292708
dna	celegans	sa	17	86096329	10.982490
dna	celegans	sa	18	89444607	12.729992
dna	celegans	sa	19	91302030	14.404524
dna	celegans	sa	20	92369288	15.995767
dna	celegans	esa	1	4	0.000006
dna	celegans	esa	2	16	0.000011
dna	celegans	esa	3	64	0.000027
dna	celegans	esa	4	256	0.000082
dna	celegans	esa	5	1024	0.000297
dna	celegans	esa	6	4096	0.001055
dna	celegans	esa	7	16384	0.003200
dna	celegans	esa	8	65536	0.009186
dna	celegans	esa	9	262144	0.029741
dna	celegans	esa	10	1048538	0.096062
dna	celegans	esa	11	4140293	0.239177
dna	celegans	esa	12	13929911	0.464276
dna	celegans	esa	13	32473321	0.995819
dna	celegans	esa	14	53325644	1.641681
dna	celegans	esa	15	69671981	2.118388
dna	celegans	esa	16	80084460	2.398932
dna	celegans	esa	17	86096329	2.687630
dna	celegans	esa	18	89444607	2.622747
dna	celegans	esa	19	91302030	2.670229
dna	celegans	esa	20	92369288	2.856087
dna	celegans	qgram	1	4	0.000011
dna	celegans	qgram	2	16	0.000014
dna	celegans	qgram	3	64	0.000026
dna	celegans	qgram	4	256	0.000072
dna	celegans	qgram	5	1024	0.000252
dna	celegans	qgram	6	4096	0.000834
dna	celegans	qgram	7	16384	0.003095
dna	celegans	qgram	8	65536	0.011625
dna	celegans	qgram	9	262144	0.038942
dna	celegans	qgram	10	1048538	0.057826
dna	celegans	qgram	11	4140293	0.135924
dna	celegans	qgram	12	13929911	0.453498
dna	celegans	qgram	13	32473321	3.670203
dna	celegans	qgram	14	53325644	5.847715
dna	celegans	qgram	15	69671981	7.721086
dna	celegans	qgram	16	80084460	9.681954
dna	celegans	qgram	17	86096329	11.323391
dna	celegans	qgram	18	89444607	13.084478
dna	celegans	qgram	19	91302030	14.811572
dna	celegans	qgram	20	92369288	16.436941
dna	celegans	fm-tl	1	4	0.000003
dna	celegans	fm-tl	2	16	0.000004
dna	celegans	fm-tl	3	64	0.000007
dna	celegans	fm-tl	4	256	0.000020
dna	celegans	fm-tl	5	1024	0.000063
dna	celegans	fm-tl	6	4096	0.000232
dna	celegans	fm-tl	7	16384	0.000918
dna	celegans	fm-tl	8	65536	0.003146
dna	celegans	fm-tl	9	262144	0.013157
dna	celegans	fm-tl	10	1048538	0.056255
dna	celegans	fm-tl	11	4140293	0.211187
dna	celegans	fm-tl	12	13929911	0.826187
dna	celegans	fm-tl	13	32473321	2.945198
dna	celegans	fm-tl	14	53325644	7.874727
dna	celegans	fm-tl	15	69671981	15.836618
dna	celegans	fm-tl	16	80084460	25.914221
dna	celegans	fm-tl	17	86096329	37.258811
dna	celegans	fm-tl	18	89444607	49.607297
dna	celegans	fm-tl	19	91302030	61.876129
dna	celegans	fm-tl	20	92369288	74.814616
dna	celegans	fm-wt	1	4	0.000004
dna	celegans	fm-wt	2	16	0.000006
dna	celegans	fm-wt	3	64	0.000011
dna	celegans	fm-wt	4	256	0.000034
dna	celegans	fm-wt	5	1024	0.000119
dna	celegans	fm-wt	6	4096	0.000437
dna	celegans	fm-wt	7	16384	0.001657
dna	celegans	fm-wt	8	65536	0.005259
dna	celegans	fm-wt	9	262144	0.025459
dna	celegans	fm-wt	10	1048538	0.095997
dna	celegans	fm-wt	11	4140293	0.370020
dna	celegans	fm-wt	12	13929911	1.377305
dna	celegans	fm-wt	13	32473321	4.912490
dna	celegans	fm-wt	14	53325644	13.406926
dna	celegans	fm-wt	15	69671981	27.617006
dna	celegans	fm-wt	16	80084460	45.897964
dna	celegans	fm-wt	17	86096329	66.863857
dna	celegans	fm-wt	18	89444607	89.580692
dna	celegans	fm-wt	19	91302030	113.613613
dna	celegans	fm-wt	20	92369288	136.136468
